Expression	Value	Location	Type	
[115]	',' (0x2C)	0x2000'0263	uint8_t	
[116]	'0' (0x30)	0x2000'0264	uint8_t	
[117]	'.' (0x2E)	0x2000'0265	uint8_t	
[118]	'0' (0x30)	0x2000'0266	uint8_t	
[119]	'0' (0x30)	0x2000'0267	uint8_t	
[120]	',' (0x2C)	0x2000'0268	uint8_t	
[121]	'6' (0x36)	0x2000'0269	uint8_t	
[122]	'.' (0x2E)	0x2000'026a	uint8_t	
[123]	'2' (0x32)	0x2000'026b	uint8_t	
[124]	'7' (0x37)	0x2000'026c	uint8_t	
[125]	'0' (0x30)	0x2000'026d	uint8_t	
[126]	'6' (0x36)	0x2000'026e	uint8_t	
[127]	'\n' (0x0A)	0x2000'026f	uint8_t	
[128]	'0' (0x30)	0x2000'0270	uint8_t	
[129]	'.' (0x2E)	0x2000'0271	uint8_t	
